CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_UNKNOWN,INJURIES_NO_INDICATION,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
f826136b461e0e42080013d13e4530ea6f2ddb82a4565cb834e2fcf5371189e9447e7465b8ec69512e36138f89b47c78ccbb7001f3b2a48b25d0eff6513568e6,,05/15/2025 03:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",05/15/2025 03:46:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5302,S,LAKE PARK AVE,234,,Y,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,1,15,5,5,41.7994238344,-87.5874370086,POINT (-87.5874370086 41.799423834436)
35095be8366e15a072849fe1f8967cae839e751d29799b806e4bb63ade6118bab322108ef1143b7008c204c315b4a32cc8b13c7454558072c185fb464daab06d,,05/12/2025 05:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,Y-INTERSECTION,,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",05/12/2025 06:11:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,2101,N,MAPLEWOOD AVE,1431,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,17,2,5,41.9192664688,-87.6911860836,POINT (-87.691186083611 41.919266468842)
fdf0e3af9f7404f10cf3b7007b593ebaae09313e00e585c0b9e1da831099554a8510e9dc4baaedbd80a18f8b42ddf06148e1f333aca4b661d52cfb1a1162546a,,05/10/2025 09:40:00 PM,30,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/16/2025 06:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,115,N,DEARBORN ST,111,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,21,7,5,41.8835585802,-87.6292829931,POINT (-87.629282993142 41.883558580226)
768525e72090ec340320e234894403faeedef04503fb70084b9cd06eac42150246f978194920dd28a431071f6f5c25a7102ea05b368f386e3386b03041bfd778,,05/08/2025 11:57:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,05/09/2025 12:03:00 AM,IMPROPER TURNING/NO SIGNAL,IMPROPER TURNING/NO SIGNAL,1807,S,KEDZIE AVE,1022,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,23,5,5,41.8574623533,-87.7052721832,POINT (-87.70527218321 41.857462353262)
ede9b4318e45d0ad8818cf1aa3e055cdfbff95bdb700b22b572f2e92774b9664f436c31b056a5a64286062d4ad40f66feee91879640e93b963911b4417bad10d,,05/08/2025 04:53:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",05/08/2025 04:55:00 PM,DISREGARDING TRAFFIC SIGNALS,FAILING TO YIELD RIGHT-OF-WAY,431,N,WELLS ST,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,16,5,5,41.8900246821,-87.6338824033,POINT (-87.633882403309 41.89002468212)
4cc0bcceb8aac2fa51cbcc23e50b7000d5ed99ca47d23fff3d246ac95f833d40f07983d9942ef3bc9d2a2932855f331e1e17241ddde1280514af5a2287d76e91,,05/07/2025 10:29:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,FOUR WAY,,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",05/07/2025 10:45:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,4404,W,ROOSEVELT RD,1131,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,22,4,5,41.8661386639,-87.7352409535,POINT (-87.735240953504 41.866138663945)
18793769679218f71b6370e851e800cee26b61cd1272b1fa7a3cdc30f12cf8adddf9350b5e9adb21539690cb7000219cd7e3c2f3c7f1b38b1ef39c8db2f481dc,,05/05/2025 09:55:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",05/05/2025 09:56:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,6400,W,ARCHER AVE,811,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,9,2,5,41.7924552555,-87.7818768499,POINT (-87.781876849877 41.792455255505)
891d6e3602b700584aca6ce9575982bbb38d8fe6ef861148ae97067b77a9987986f75171fe765fa431725733c04aff03f7d3d1beafe0cdaa819b6b08dae63a55,,05/02/2025 09:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,05/02/2025 10:15:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,300,W,FULLERTON PKWY,1935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,9,6,5,41.9257655547,-87.6366512733,POINT (-87.636651273282 41.925765554709)
eff36a96ab7e9db7a459d446197f94b020ee863a33b7004b5b95c2c2ec935681750cefba30404e4c207a44b78c55a835bae6c1cab85cadcc3dcaa3a34f834bb6,,05/01/2025 08:16:00 PM,25,OTHER,NO CONTROLS,UNKNOWN,UNKNOWN,REAR TO FRONT,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,05/01/2025 08:16:00 PM,NOT APPLICABLE,NOT APPLICABLE,4626,W,DIVERSEY AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,20,5,5,41.9316889194,-87.7430169468,POINT (-87.743016946831 41.931688919351)
a1981fc06e347b803559d30672dae2fba8ce47c71e4ee0ab95ed8eb67186a87b95f651484ab96d5d6b79641e6ba46d8d71a4b7000538a28ea3323c2fa5842cd3,,04/30/2025 03:40:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",04/30/2025 05:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,8600,S,WESTERN AVE,835,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,4,15,4,4,41.7372962464,-87.682697195,POINT (-87.682697194964 41.737296246364)
0746c79c33a397793b017e4bbe96d355e4736a9326b45e17b4b959ec7267740d3ab3b00f9168e66c33c805590b38773ead82b70012939fc09017fc42e021ecbf,,04/28/2025 06:29:00 PM,30,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/28/2025 06:29:00 PM,NOT APPLICABLE,NOT APPLICABLE,943,N,PULASKI RD,1112,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,18,2,4,41.8984800048,-87.7260312099,POINT (-87.726031209917 41.898480004848)
93ecdcd4556758cd40f839ce114ff0cb77260e61f0286b7610b56a44d8b3c875ebda65bf530b700a0d716b2e63f8a4901a0abd8482828b910e24693f177d703b,,04/28/2025 02:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/28/2025 05:53:00 PM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,7500,S,LAFAYETTE AVE,623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,14,2,4,41.758068532,-87.6265169823,POINT (-87.626516982328 41.75806853202)
fd7d64f544dd104c050158885563ff1c6253532b9593be7b700b846a699d73706007773c6a5bd382da1ffdbb0ab5bc1a5815a67b2396423faf8c73d488ead996,,04/28/2025 01:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,N,,Y,$500 OR LESS,04/28/2025 07:02:00 PM,IMPROPER BACKING,IMPROPER BACKING,6104,S,MONITOR AVE,812,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,1,1,2,4,41.7813957348,-87.7681102564,POINT (-87.768110256393 41.781395734807)
e33cf1eaac6a433e23bc4c98912261b3ced4c205db00891aaf8bcb28b21695d593f1d0f10011a4b3f86c17835ebfa6feb5c6b635c43f253f05f01b7000a9fb5f,,04/24/2025 05:04:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",04/24/2025 05:20:00 PM,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,3030,W,26TH ST,1033,,,,,,,4,"REPORTED, NOT EVIDENT",5,0,0,0,5,0,3,17,5,4,41.8446957914,-87.7013051941,POINT (-87.701305194093 41.844695791397)
dcf4b8f05f42a9c4b700b390b23098f3563dc7fac08b50e81637ab8fcc5b277775ce3d0da344ec72ee5cc46f6a98107992e95e98da04f18fa00967e6332565ce,,04/24/2025 08:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",04/24/2025 06:33:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,5900,S,WENTWORTH AVE,232,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,3,8,5,4,,,
f5dcfba8a97e286ae8abb289b10f0112fdb08725e8fde4021fdb0e25bdfeda006915390d8d506fc411cf3e92f28dead9c64eeb70099bbff7195bd3aa523ed68a,,04/23/2025 04:00:00 PM,40,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/23/2025 04:15:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,900,N,LAKE SHORE DR NB,1833,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,0,3,16,4,4,41.8993222788,-87.6187384331,POINT (-87.618738433114 41.899322278833)
d949262a37e580b3a2f573ea18f8fbb70044f9d6a61d925ca77f0017a04944282f9d7b22da0314b69e1eb3f4c625e67212ff1b4ef077cc89ec12d934c783bb02,,04/19/2025 09:38:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",04/20/2025 09:25:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5569,W,DIVISION ST,1524,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,0,1,21,7,4,41.9020358771,-87.7655600111,POINT (-87.765560011141 41.902035877119)
5cde3659d70ad10941e11533140284b7008d6cd9c20d569d8827d8bc6c274019438a49b250d7556048f236b7112e3252888bb4f7d068b16ef6bd5c44a8491ea9,,04/18/2025 05:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/18/2025 05:35:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,1802,S,CALUMET AVE,132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,3,17,6,4,41.8577205536,-87.6196772874,POINT (-87.619677287404 41.857720553618)
77296313cc74981b92e9c57eb7c9e1e29a2c1407b64cf3e6259fd5eb833977b65a7acd2cf3a4a7cab700e230185e42ad090fc12f866a0b7fad6eb029efece0ea,,04/17/2025 06:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/17/2025 07:00:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5915,N,SHERIDAN RD,2022,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,18,5,4,41.9896591968,-87.6552244448,POINT (-87.655224444849 41.989659196835)
18b9934b414a66d44da268fedbde267b81ffb791daedb7003b67aad2d5418b8fd9ebbe8813b53685e509eedfb3f6a8d840e58c2ddd173b7c12ba2bb56ac98c28,,04/16/2025 04:04:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,UNKNOWN,REAR END,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",04/17/2025 11:26:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,3601,N,ELSTON AVE,1733,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,4,16,4,4,41.9467111199,-87.7087541041,POINT (-87.70875410414 41.946711119866)
eb24adbaf9e72119059a5a383618223d7a06b998849233037fb30829ec9539749a971428953178273168631ba0b700c7c0c7681066f7c096b3d352b51dd6bf0a,,04/11/2025 03:09:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",04/11/2025 03:13:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,224,S,MICHIGAN AVE,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,15,6,4,41.8789373824,-87.6244832733,POINT (-87.62448327326 41.878937382428)
0906695e0bf6967422ac19feab242931f52580b2f8700f46f24a67684b90d21a913968081ad735b7003dffef779142f2c23a78b49069c406f388eb63e3ae674d,,04/09/2025 08:00:00 AM,30,UNKNOWN,UNKNOWN,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",04/10/2025 05:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5894,N,RIDGE AVE,2013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,8,4,4,41.9888847241,-87.6688872951,POINT (-87.668887295062 41.988884724142)
5e9a6f60278eeb8d540abbe9a7bac60a083c54a3334cec4a3e5ee1287959b8f8aab32b2e5cfdc952392d2598778b7c47b44c62ffbeb700f74ff6258709c73e12,N,04/08/2025 03:24:00 PM,0,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",04/08/2025 04:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1147,S,WABASH AVE,123,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,15,3,4,41.8678670902,-87.6256868412,POINT (-87.625686841193 41.867867090171)
